"","INCIDENT_ID","DATA_YEAR","ORI","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_TYPE_NAME","STATE_ABBR","STATE_NAME","DIVISION_NAME","REGION_NAME","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","INCIDENT_DATE","ADULT_VICTIM_COUNT","JUVENILE_VICTIM_COUNT","TOTAL_OFFENDER_COUNT","ADULT_OFFENDER_COUNT","JUVENILE_OFFENDER_COUNT","OFFENDER_RACE","OFFENDER_ETHNICITY","VICTIM_COUNT","OFFENSE_NAME","TOTAL_INDIVIDUAL_VICTIMS","LOCATION_NAME","BIAS_DESC","VICTIM_TYPES","MULTIPLE_OFFENSE","MULTIPLE_BIAS"
"1",42347,1997,"CA0371000","Oceanside",NA,"City","CA","California","Pacific","West","2","Cities from 100,000 thru 249,999","24-JUN-97",NA,NA,2,NA,NA,"White",NA,1,"Intimidation",1,"Restaurant","Anti-Physical Disability","Individual","S","S"
"2",47769,1997,"CA0440000","Santa Cruz",NA,"County","CA","California","Pacific","West","9A","MSA counties 100,000 or over","13-MAR-97",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Jail/Prison/Penitentiary/Corrections Facility","Anti-Physical Disability","Individual","S","S"
"3",48352,1997,"CT0008900","New Britain",NA,"City","CT","Connecticut","New England","Northeast","3","Cities from 50,000 thru 99,999","14-DEC-97",NA,NA,1,NA,NA,"Unknown",NA,1,"Intimidation",1,"Parking/Drop Lot/Garage","Anti-Physical Disability","Individual","S","S"
"4",48489,1997,"CT0019100","Eastern Connecticut State University",NA,"University or College","CT","Connecticut","New England","Northeast","7","Cities under 2,500","13-SEP-97",NA,NA,1,NA,NA,"White",NA,1,"Aggravated Assault",1,"School/College","Anti-Physical Disability","Individual","S","S"
"5",46825,1997,"IL0720700","Peoria",NA,"City","IL","Illinois","East North Central","Midwest","2","Cities from 100,000 thru 249,999","23-FEB-97",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Parking/Drop Lot/Garage","Anti-Physical Disability","Individual","S","S"
"6",46964,1997,"IN0100200","Clarksville",NA,"City","IN","Indiana","East North Central","Midwest","5","Cities from 10,000 thru 24,999","15-JUN-97",NA,NA,2,NA,NA,"Multiple",NA,1,"Intimidation",1,"Specialty Store","Anti-Physical Disability","Individual","S","S"
"7",48715,1997,"OR0260200","Portland",NA,"City","OR","Oregon","Pacific","West","1C","Cities from 250,000 thru 499,999","03-FEB-97",NA,NA,1,NA,NA,"White",NA,1,"Intimidation",1,"Residence/Home","Anti-Physical Disability","Individual","S","S"
"8",45617,1997,"TN0620000","Monroe",NA,"County","TN","Tennessee","East South Central","South","8B","Non-MSA counties from 25,000 thru 99,999","12-DEC-97",NA,NA,1,NA,NA,"White",NA,1,"Rape",1,"Residence/Home","Anti-Physical Disability","Individual","S","S"
"9",45899,1997,"TX0210200","College Station",NA,"City","TX","Texas","West South Central","South","3","Cities from 50,000 thru 99,999","03-DEC-97",NA,NA,1,NA,NA,"White",NA,1,"Intimidation",1,"Residence/Home","Anti-Mental Disability","Individual","S","S"
"10",49059,1997,"TX2201200","Fort Worth",NA,"City","TX","Texas","West South Central","South","1C","Cities from 250,000 thru 499,999","28-SEP-97",NA,NA,1,NA,NA,"Black or African American",NA,1,"Simple Assault",1,"Grocery/Supermarket","Anti-Physical Disability","Individual","S","S"
"11",46248,1997,"WI0137700","Waunakee",NA,"City","WI","Wisconsin","East North Central","Midwest","6","Cities from 2,500 thru 9,999","01-MAR-97",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"School/College","Anti-Mental Disability","Individual","S","S"
"12",46251,1997,"WI0137700","Waunakee",NA,"City","WI","Wisconsin","East North Central","Midwest","6","Cities from 2,500 thru 9,999","01-MAR-97",NA,NA,1,NA,NA,"White",NA,1,"Intimidation",1,"School/College","Anti-Mental Disability","Individual","S","S"
"13",46265,1997,"WI0412000","State Fair Park Police",NA,"Other State Agency","WI","Wisconsin","East North Central","Midwest","7","Cities under 2,500","02-NOV-97",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Government/Public Building","Anti-Physical Disability","Individual","S","S"
"14",56439,1998,"AZ0100300","Tucson",NA,"City","AZ","Arizona","Mountain","West","1C","Cities from 250,000 thru 499,999","04-AUG-98",NA,NA,2,NA,NA,"Unknown",NA,1,"Simple Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Physical Disability","Individual","S","S"
"15",50016,1998,"CA0194200","Los Angeles",NA,"City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","26-MAR-98",NA,NA,0,NA,NA,"Unknown",NA,1,"Intimidation",1,"Residence/Home","Anti-Physical Disability","Individual","S","S"
"16",50332,1998,"CA0340100","Folsom",NA,"City","CA","California","Pacific","West","4","Cities from 25,000 thru 49,999","16-APR-98",NA,NA,0,NA,NA,"Unknown",NA,1,"Intimidation",1,"Residence/Home","Anti-Physical Disability","Individual","S","S"
"17",56341,1998,"CA0340400","Sacramento",NA,"City","CA","California","Pacific","West","1C","Cities from 250,000 thru 499,999","09-OCT-98",NA,NA,6,NA,NA,"Multiple",NA,2,"Simple Assault",2,"School/College","Anti-Physical Disability","Individual","S","S"
"18",55638,1998,"CO0070400","Longmont",NA,"City","CO","Colorado","Mountain","West","3","Cities from 50,000 thru 99,999","23-OCT-98",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Residence/Home","Anti-Mental Disability","Individual","S","S"
"19",50813,1998,"CT0008900","New Britain",NA,"City","CT","Connecticut","New England","Northeast","3","Cities from 50,000 thru 99,999","19-OCT-98",NA,NA,0,NA,NA,"Unknown",NA,1,"Intimidation",1,"Convenience Store","Anti-Physical Disability","Individual","S","S"
"20",50831,1998,"CT0014000","Thomaston",NA,"City","CT","Connecticut","New England","Northeast","6","Cities from 2,500 thru 9,999","30-APR-98",NA,NA,2,NA,NA,"Unknown",NA,2,"Intimidation;Rape",2,"Residence/Home","Anti-Mental Disability","Individual","M","S"
"21",51157,1998,"IL0410100","Mount Vernon",NA,"City","IL","Illinois","East North Central","Midwest","5","Cities from 10,000 thru 24,999","28-AUG-98",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Residence/Home","Anti-Mental Disability","Individual","S","S"
"22",51159,1998,"IL0410100","Mount Vernon",NA,"City","IL","Illinois","East North Central","Midwest","5","Cities from 10,000 thru 24,999","25-OCT-98",NA,NA,1,NA,NA,"Unknown",NA,1,"Not Specified",1,"Other/Unknown","Anti-Mental Disability","Individual","S","S"
"23",51162,1998,"IL0410100","Mount Vernon",NA,"City","IL","Illinois","East North Central","Midwest","5","Cities from 10,000 thru 24,999","07-NOV-98",NA,NA,1,NA,NA,"Unknown",NA,1,"Destruction/Damage/Vandalism of Property",1,"Other/Unknown","Anti-Physical Disability","Individual","S","S"
"24",56518,1998,"IL0410100","Mount Vernon",NA,"City","IL","Illinois","East North Central","Midwest","5","Cities from 10,000 thru 24,999","03-FEB-98",NA,NA,2,NA,NA,"Black or African American",NA,1,"Aggravated Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Mental Disability","Individual","S","S"
"25",56519,1998,"IL0410100","Mount Vernon",NA,"City","IL","Illinois","East North Central","Midwest","5","Cities from 10,000 thru 24,999","30-MAR-98",NA,NA,1,NA,NA,"Black or African American",NA,1,"Aggravated Assault",1,"School/College","Anti-Physical Disability","Individual","S","S"
"26",51421,1998,"ME0060100","Augusta",NA,"City","ME","Maine","New England","Northeast","5","Cities from 10,000 thru 24,999","26-MAY-98",NA,NA,3,NA,NA,"White",NA,1,"Intimidation",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Mental Disability","Individual","S","S"
"27",51422,1998,"ME0060100","Augusta",NA,"City","ME","Maine","New England","Northeast","5","Cities from 10,000 thru 24,999","01-JUN-98",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Drug Store/Doctor's Office/Hospital","Anti-Mental Disability","Individual","S","S"
"28",51865,1998,"MI4648500","Hudson",NA,"City","MI","Michigan","East North Central","Midwest","6","Cities from 2,500 thru 9,999","18-DEC-98",NA,NA,3,NA,NA,"White",NA,1,"Simple Assault",1,"Service/Gas Station","Anti-Physical Disability","Individual","S","S"
"29",51872,1998,"MI5030300","Center Line",NA,"City","MI","Michigan","East North Central","Midwest","6","Cities from 2,500 thru 9,999","29-APR-98",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Mental Disability","Individual","S","S"
"30",52344,1998,"NJ0021400","Emerson",NA,"City","NJ","New Jersey","Middle Atlantic","Northeast","6","Cities from 2,500 thru 9,999","27-JAN-98",NA,NA,1,NA,NA,"Black or African American",NA,1,"Intimidation",1,"Other/Unknown","Anti-Physical Disability","Individual","S","S"
"31",54836,1998,"NJ0033000","Pemberton Township",NA,"City","NJ","New Jersey","Middle Atlantic","Northeast","4","Cities from 25,000 thru 49,999","15-JUN-98",NA,NA,0,NA,NA,"Unknown",NA,1,"Destruction/Damage/Vandalism of Property",0,"Highway/Road/Alley/Street/Sidewalk","Anti-Physical Disability","Society/Public","S","S"
"32",52565,1998,"NJ0122200","South Plainfield",NA,"City","NJ","New Jersey","Middle Atlantic","Northeast","5","Cities from 10,000 thru 24,999","11-JAN-98",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Residence/Home","Anti-Physical Disability","Individual","S","S"
"33",53553,1998,"TNTBI0000","Tennessee Bureau of Investigation",NA,"Other State Agency","TN","Tennessee","East South Central","South","7","Cities under 2,500","08-JUN-98",NA,NA,1,NA,NA,"Unknown",NA,1,"Aggravated Assault",1,"Drug Store/Doctor's Office/Hospital","Anti-Physical Disability","Individual","S","S"
