"","INCIDENT_ID","DATA_YEAR","ORI","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_TYPE_NAME","STATE_ABBR","STATE_NAME","DIVISION_NAME","REGION_NAME","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","INCIDENT_DATE","ADULT_VICTIM_COUNT","JUVENILE_VICTIM_COUNT","TOTAL_OFFENDER_COUNT","ADULT_OFFENDER_COUNT","JUVENILE_OFFENDER_COUNT","OFFENDER_RACE","OFFENDER_ETHNICITY","VICTIM_COUNT","OFFENSE_NAME","TOTAL_INDIVIDUAL_VICTIMS","LOCATION_NAME","BIAS_DESC","VICTIM_TYPES","MULTIPLE_OFFENSE","MULTIPLE_BIAS"
"1",45899,1997,"TX0210200","College Station",NA,"City","TX","Texas","West South Central","South","3","Cities from 50,000 thru 99,999","03-DEC-97",NA,NA,1,NA,NA,"White",NA,1,"Intimidation",1,"Residence/Home","Anti-Mental Disability","Individual","S","S"
"2",46248,1997,"WI0137700","Waunakee",NA,"City","WI","Wisconsin","East North Central","Midwest","6","Cities from 2,500 thru 9,999","01-MAR-97",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"School/College","Anti-Mental Disability","Individual","S","S"
"3",46251,1997,"WI0137700","Waunakee",NA,"City","WI","Wisconsin","East North Central","Midwest","6","Cities from 2,500 thru 9,999","01-MAR-97",NA,NA,1,NA,NA,"White",NA,1,"Intimidation",1,"School/College","Anti-Mental Disability","Individual","S","S"
"4",55638,1998,"CO0070400","Longmont",NA,"City","CO","Colorado","Mountain","West","3","Cities from 50,000 thru 99,999","23-OCT-98",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Residence/Home","Anti-Mental Disability","Individual","S","S"
"5",50831,1998,"CT0014000","Thomaston",NA,"City","CT","Connecticut","New England","Northeast","6","Cities from 2,500 thru 9,999","30-APR-98",NA,NA,2,NA,NA,"Unknown",NA,2,"Intimidation;Rape",2,"Residence/Home","Anti-Mental Disability","Individual","M","S"
"6",51157,1998,"IL0410100","Mount Vernon",NA,"City","IL","Illinois","East North Central","Midwest","5","Cities from 10,000 thru 24,999","28-AUG-98",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Residence/Home","Anti-Mental Disability","Individual","S","S"
"7",51159,1998,"IL0410100","Mount Vernon",NA,"City","IL","Illinois","East North Central","Midwest","5","Cities from 10,000 thru 24,999","25-OCT-98",NA,NA,1,NA,NA,"Unknown",NA,1,"Not Specified",1,"Other/Unknown","Anti-Mental Disability","Individual","S","S"
"8",56518,1998,"IL0410100","Mount Vernon",NA,"City","IL","Illinois","East North Central","Midwest","5","Cities from 10,000 thru 24,999","03-FEB-98",NA,NA,2,NA,NA,"Black or African American",NA,1,"Aggravated Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Mental Disability","Individual","S","S"
"9",51421,1998,"ME0060100","Augusta",NA,"City","ME","Maine","New England","Northeast","5","Cities from 10,000 thru 24,999","26-MAY-98",NA,NA,3,NA,NA,"White",NA,1,"Intimidation",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Mental Disability","Individual","S","S"
"10",51422,1998,"ME0060100","Augusta",NA,"City","ME","Maine","New England","Northeast","5","Cities from 10,000 thru 24,999","01-JUN-98",NA,NA,1,NA,NA,"White",NA,1,"Simple Assault",1,"Drug Store/Doctor's Office/Hospital","Anti-Mental Disability","Individual","S","S"
