Crime,Disability Status,Value
Violent crime,Persons with disabilities,37.9
Violent crime,Persons without disabilities,44.7
Violent crime excluding simple assault,Persons with disabilities,46
Violent crime excluding simple assault,Persons without disabilities,50.8
Rape/sexual assault,Persons with disabilities,18.6
Rape/sexual assault,Persons without disabilities,36.3
Robbery,Persons with disabilities,45.2
Robbery,Persons without disabilities,56.8
Aggravated assault,Persons with disabilities,60.3
Aggravated assault,Persons without disabilities,55.3
Simple assault,Persons with disabilities,32.9
Simple assault,Persons without disabilities,41.3
